date,medicine_id,medicine_name,category,unit_price,lead_time_days,opening_stock,units_sold,received_qty,closing_stock,stockout,lag_1,lag_7,rolling_7,rolling_14,rolling_30,demand_std,month,day_of_week,holiday,supplier_delay_rate,future_7d_demand,stockout_risk
2025-01-31,MED001,Paracetamol 500mg,Analgesic,3.0,4,1131,132,0,999,0,129.0,124.0,116.57142857142857,118.42857142857143,117.06666666666666,8.092867569317148,1,4,0,0.09722488695450016,821.0,0
2025-02-01,MED001,Paracetamol 500mg,Analgesic,3.0,4,999,101,0,898,0,132.0,104.0,117.71428571428571,119.07142857142857,117.53333333333333,8.809647558778376,2,5,0,0.17338958036009522,814.0,0
2025-02-02,MED001,Paracetamol 500mg,Analgesic,3.0,4,898,107,0,791,0,101.0,114.0,117.28571428571429,118.28571428571429,116.6,9.910589297301144,2,6,0,0.15936879403417492,830.0,1
2025-02-03,MED001,Paracetamol 500mg,Analgesic,3.0,4,791,125,0,666,0,107.0,109.0,116.28571428571429,117.71428571428571,116.2,10.336109753440343,2,0,0,0.18115154884698706,844.0,1
2025-02-04,MED001,Paracetamol 500mg,Analgesic,3.0,4,666,132,1119,1653,0,125.0,118.0,118.57142857142857,117.85714285714286,116.7,10.428195085787976,2,1,0,0.19882920168883408,852.0,0
2025-02-05,MED001,Paracetamol 500mg,Analgesic,3.0,4,1653,126,0,1527,0,132.0,118.0,120.57142857142857,118.71428571428571,117.86666666666666,11.090041072467256,2,2,0,0.1371866144060268,843.0,0
2025-02-06,MED001,Paracetamol 500mg,Analgesic,3.0,4,1527,120,0,1407,0,126.0,129.0,121.71428571428571,118.07142857142857,117.66666666666667,10.30656464226924,2,3,0,0.16392937936703483,828.0,0
2025-02-07,MED001,Paracetamol 500mg,Analgesic,3.0,4,1407,117,0,1290,0,120.0,132.0,120.42857142857143,118.5,117.33333333333333,10.248827325038766,2,4,0,0.1651953126152712,838.0,0
2025-02-08,MED001,Paracetamol 500mg,Analgesic,3.0,4,1290,111,0,1179,0,117.0,101.0,118.28571428571429,118.0,118.1,10.129925202852405,2,5,0,0.18134878992257472,842.0,0
2025-02-09,MED001,Paracetamol 500mg,Analgesic,3.0,4,1179,111,0,1068,0,111.0,107.0,119.71428571428571,118.5,117.96666666666667,9.541407733582151,2,6,0,0.14217502182329045,840.0,0
2025-02-10,MED001,Paracetamol 500mg,Analgesic,3.0,4,1068,123,0,945,0,111.0,125.0,120.28571428571429,118.28571428571429,118.0,9.682883958730555,2,0,0,0.09291772886816468,831.0,0
2025-02-11,MED001,Paracetamol 500mg,Analgesic,3.0,4,945,123,0,822,0,123.0,132.0,120.0,119.28571428571429,118.86666666666666,9.367936899779025,2,1,0,0.19752355461073864,831.0,1
2025-02-12,MED001,Paracetamol 500mg,Analgesic,3.0,4,822,126,0,696,0,123.0,126.0,118.71428571428571,119.64285714285714,119.03333333333333,9.410363704711138,2,2,0,0.08682048134886464,829.0,1
2025-02-13,MED001,Paracetamol 500mg,Analgesic,3.0,4,696,118,1120,1698,0,126.0,120.0,118.71428571428571,120.21428571428571,118.8,9.54486226220134,2,3,0,0.19548494082448448,991.0,0
2025-02-14,MED001,Paracetamol 500mg,Analgesic,3.0,4,1698,279,0,1419,0,118.0,117.0,118.42857142857143,119.42857142857143,118.93333333333334,9.21298653418752,2,4,0,0.1106429870822353,974.0,0
2025-02-15,MED001,Paracetamol 500mg,Analgesic,3.0,4,1419,94,0,1325,0,279.0,111.0,141.57142857142858,129.92857142857142,124.53333333333333,43.73427503899902,2,5,0,0.1390980705215371,977.0,0
2025-02-16,MED001,Paracetamol 500mg,Analgesic,3.0,4,1325,114,0,1211,0,94.0,111.0,139.14285714285714,129.42857142857142,123.43333333333334,44.12868295497452,2,6,0,0.19407938044925435,962.0,0
2025-02-17,MED001,Paracetamol 500mg,Analgesic,3.0,4,1211,108,0,1103,0,114.0,123.0,139.57142857142858,129.92857142857142,123.13333333333334,43.894040747996904,2,0,0,0.16119926481577518,959.0,0
2025-02-18,MED001,Paracetamol 500mg,Analgesic,3.0,4,1103,120,0,983,0,108.0,123.0,137.42857142857142,128.71428571428572,123.0,44.27436933734663,2,1,0,0.15026736142462038,951.0,0
2025-02-19,MED001,Paracetamol 500mg,Analgesic,3.0,4,983,118,0,865,0,120.0,126.0,137.0,127.85714285714286,123.16666666666667,44.32199860610485,2,2,0,0.11910714306601662,958.0,1
2025-02-20,MED001,Paracetamol 500mg,Analgesic,3.0,4,865,125,0,740,0,118.0,118.0,135.85714285714286,127.28571428571429,123.0,44.39928719356543,2,3,0,0.11508872535492587,791.0,1
2025-02-21,MED001,Paracetamol 500mg,Analgesic,3.0,4,740,112,0,628,0,125.0,279.0,136.85714285714286,127.64285714285714,123.16666666666667,44.35626248883038,2,4,0,0.0839333196911104,814.0,1
2025-02-22,MED001,Paracetamol 500mg,Analgesic,3.0,4,628,117,1218,1729,0,112.0,94.0,113.0,127.28571428571429,122.4,44.468534374887476,2,5,0,0.15035986723415842,804.0,0
2025-02-23,MED001,Paracetamol 500mg,Analgesic,3.0,4,1729,104,0,1625,0,117.0,114.0,116.28571428571429,127.71428571428571,122.5,44.32819656820037,2,6,0,0.13161215186975542,816.0,0
2025-02-24,MED001,Paracetamol 500mg,Analgesic,3.0,4,1625,120,0,1505,0,104.0,108.0,114.85714285714286,127.21428571428571,121.83333333333333,44.570046118318196,2,0,0,0.10691614363407281,812.0,0
2025-02-25,MED001,Paracetamol 500mg,Analgesic,3.0,4,1505,116,0,1389,0,120.0,120.0,116.57142857142857,127.0,122.36666666666666,44.599068634635444,2,1,0,0.12610569492646106,806.0,0
2025-02-26,MED001,Paracetamol 500mg,Analgesic,3.0,4,1389,112,0,1277,0,116.0,118.0,116.0,126.5,122.43333333333334,44.6865149165228,2,2,0,0.19291306497452665,821.0,0
2025-02-27,MED001,Paracetamol 500mg,Analgesic,3.0,4,1277,140,0,1137,0,112.0,125.0,115.14285714285714,125.5,122.53333333333333,44.854894253153,2,3,0,0.1818080142132042,834.0,0
2025-02-28,MED001,Paracetamol 500mg,Analgesic,3.0,4,1137,125,0,1012,0,140.0,112.0,117.28571428571429,127.07142857142857,123.26666666666667,44.9571835377657,2,4,0,0.13164887588625918,874.0,0
2025-03-01,MED001,Paracetamol 500mg,Analgesic,3.0,4,1012,157,0,855,0,125.0,117.0,119.14285714285714,116.07142857142857,123.5,10.752203965229162,3,5,0,0.19759436318826473,880.0,1
2025-03-02,MED001,Paracetamol 500mg,Analgesic,3.0,4,855,110,0,745,0,157.0,104.0,124.85714285714286,120.57142857142857,124.43333333333334,13.608336165263289,3,6,0,0.13545413275590265,874.0,1
2025-03-03,MED001,Paracetamol 500mg,Analgesic,3.0,4,745,114,0,631,0,110.0,120.0,125.71428571428571,120.28571428571429,123.7,13.797594948889678,3,0,0,0.12189702538581179,891.0,1
